                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.3702,                0.97548,                0.99966,                 4.3935,               0.003565,               0.003565,               0.003565
                     67,                 1.3436,                0.97693,                0.99958,                 4.3897,               0.003466,               0.003466,               0.003466
                     68,                 1.3012,                0.97862,                0.99949,                 4.3864,               0.003367,               0.003367,               0.003367
                     69,                 1.3111,                0.98074,                0.99958,                 4.3832,               0.003268,               0.003268,               0.003268
                     70,                 1.2742,                 0.9821,                0.99949,                 4.3803,               0.003169,               0.003169,               0.003169
                     71,                 1.2535,                0.98295,                0.99949,                 4.3777,                0.00307,                0.00307,                0.00307
                     72,                 1.2358,                0.98261,                0.99949,                 4.3749,               0.002971,               0.002971,               0.002971
                     73,                 1.2399,                0.98388,                0.99958,                 4.3725,               0.002872,               0.002872,               0.002872
                     74,                   1.22,                0.98473,                0.99958,                 4.3705,               0.002773,               0.002773,               0.002773
                     75,                 1.1725,                0.98558,                0.99966,                 4.3683,               0.002674,               0.002674,               0.002674
                     76,                 1.1894,                0.98643,                0.99966,                 4.3662,               0.002575,               0.002575,               0.002575
                     77,                   1.16,                0.98812,                0.99983,                 4.3643,               0.002476,               0.002476,               0.002476
                     78,                 1.1377,                0.98829,                0.99983,                 4.3624,               0.002377,               0.002377,               0.002377
                     79,                 1.1149,                 0.9888,                0.99983,                 4.3607,               0.002278,               0.002278,               0.002278
                     80,                 1.1175,                0.98948,                0.99983,                 4.3592,               0.002179,               0.002179,               0.002179
                     81,                 1.0873,                0.98982,                0.99983,                  4.358,                0.00208,                0.00208,                0.00208
                     82,                 1.0882,                0.98982,                0.99992,                 4.3566,               0.001981,               0.001981,               0.001981
                     83,                 1.0471,                0.98974,                0.99992,                 4.3553,               0.001882,               0.001882,               0.001882
                     84,                 1.0384,                0.99058,                0.99992,                 4.3541,               0.001783,               0.001783,               0.001783
                     85,                 1.0389,                0.99075,                0.99992,                 4.3529,               0.001684,               0.001684,               0.001684
                     86,                0.99734,                0.99118,                0.99992,                 4.3519,               0.001585,               0.001585,               0.001585
                     87,                0.97256,                0.99143,                0.99992,                 4.3507,               0.001486,               0.001486,               0.001486
                     88,                0.98307,                0.99143,                0.99992,                 4.3499,               0.001387,               0.001387,               0.001387
                     89,                0.94905,                 0.9916,                0.99992,                  4.349,               0.001288,               0.001288,               0.001288
                     90,                0.96446,                0.99186,                0.99983,                  4.348,               0.001189,               0.001189,               0.001189
                     91,                0.94476,                0.99211,                0.99983,                 4.3471,                0.00109,                0.00109,                0.00109
                     92,                0.94163,                0.99237,                0.99983,                 4.3464,               0.000991,               0.000991,               0.000991
                     93,                0.90357,                0.99262,                0.99992,                 4.3457,               0.000892,               0.000892,               0.000892
                     94,                0.88464,                0.99313,                0.99992,                  4.345,               0.000793,               0.000793,               0.000793
                     95,                0.88254,                0.99321,                0.99992,                 4.3444,               0.000694,               0.000694,               0.000694
                     96,                0.86381,                 0.9933,                0.99992,                 4.3438,               0.000595,               0.000595,               0.000595
                     97,                0.87083,                0.99355,                0.99983,                 4.3433,               0.000496,               0.000496,               0.000496
                     98,                0.85556,                0.99355,                0.99992,                 4.3427,               0.000397,               0.000397,               0.000397
                     99,                0.85128,                0.99347,                0.99992,                 4.3423,               0.000298,               0.000298,               0.000298
                    100,                0.82612,                0.99355,                0.99992,                 4.3418,               0.000199,               0.000199,               0.000199
